FID,Plant,Log_number,Latitude,Longitude,Observatio,issues,BIO1_30s,BIO2_30s,BIO3_30s,BIO4_30s,BIO5_30s,BIO6_30s,BIO7_30s,BIO8_30s,BIO9_30s,BIO10_30s,BIO11_30s,BIO12_30s,BIO13_30s,BIO14_30s,BIO15_30s,BIO16_30s,BIO17_30s,BIO18_30s,BIO19_30s
7,Lonicera maackii,1030802538,45.973419,126.723786,PRESERVED_SPECIMEN,"cdround,gass84",3.833333246,11.43333325,21.29112383,1535.596316,28.29999924,-25.39999962,53.69999886,21.58333302,-16.41666683,21.58333302,-16.41666683,521,150,3,109.7072362,346,12,346,12
8,Lonicera maackii,1586926575,45.169795,-85.59776,HUMAN_OBSERVATION,"cdround,gass84",6.675000158,9.68333356,26.74953966,969.2862968,23.20000076,-13,36.20000076,14.51666681,-4.733333223,18.30000035,-5.299999935,779,99,36,24.91501162,253,135,219,145
9,Lonicera maackii,1802622815,44.3581,-76.071221,HUMAN_OBSERVATION,"cdround,gass84",6.854166591,9.591666718,24.72079039,1053.650482,24.5,-14.30000019,38.80000019,9.016666591,-5.716666639,19.43333308,-6.550000004,973,105,61,15.83720847,293,199,244,219
12,Lonicera maackii,1303823951,43.873543,126.468794,PRESERVED_SPECIMEN,"cdround,gass84",4.829166718,11.62499983,22.52906926,1435.970452,28.60000038,-23,51.60000038,21.41666683,-14.2166663,21.41666683,-14.2166663,665,188,5,104.5188084,428,19,428,19
13,Lonicera maackii,1703160284,43.774688,-79.466729,HUMAN_OBSERVATION,"cdround,gass84",7.874999831,9.133333107,24.88646701,1001.794957,24.79999924,-11.89999962,36.69999886,19.21666622,-3.899999956,19.93333276,-4.666666627,845,85,50,16.97648994,250,160,242,170
14,Lonicera maackii,1144277845,43.763481,-72.664735,HUMAN_OBSERVATION,gass84,5.554166687,11.19166695,29.06926479,989.9620283,23.39999962,-15.10000038,38.5,17.43333324,-5.933333486,17.43333324,-7.00000003,1183,122,73,13.11715026,333,243,333,253
15,Lonicera maackii,911504602,43.844486,-72.661941,HUMAN_OBSERVATION,gass84,6.054166702,11.45833339,29.23044175,1001.672378,24.20000076,-15,39.20000076,18.16666683,-5.516666667,18.16666683,-6.666666795,1105,116,67,14.22618536,313,223,313,237
16,Lonicera maackii,1303824012,43.683756,127.383846,PRESERVED_SPECIMEN,"cdround,gass84",4.087500066,12.49166675,23.52479598,1453.824298,28.60000038,-24.5,53.10000038,20.8166666,-15.26666641,20.8166666,-15.26666641,647,167,5,100.1305487,409,20,409,20
17,Lonicera maackii,1144286806,43.587016,-72.953381,HUMAN_OBSERVATION,gass84,7.445833327,11.975,29.42260386,1037.42789,26.20000076,-14.5,40.70000076,19.9333334,-4.483333314,19.9333334,-5.799999937,821,95,46,20.23771513,255,153,255,161
18,Lonicera maackii,1847558983,43.284308,-79.903003,HUMAN_OBSERVATION,"cdround,gass84",8.458333371,8.916666542,25.04681586,973.5078004,25.20000076,-10.39999962,35.60000038,19.65000025,-3.050000002,20.28333346,-3.566666653,891,91,57,14.83190922,258,179,241,188
19,Lonicera maackii,1850911728,43.291682,-79.879402,HUMAN_OBSERVATION,"cdround,gass84",8.512500094,8.825000159,24.92937858,972.3030916,25.20000076,-10.19999981,35.40000057,19.71666686,-2.983333305,20.31666676,-3.483333225,876,90,56,14.47443483,253,178,235,186
20,Lonicera maackii,1850933569,43.294173,-79.88359,HUMAN_OBSERVATION,"cdround,gass84",8.425000052,8.883333306,25.02347343,974.1698264,25.20000076,-10.30000019,35.50000095,19.65000025,-3.066666742,20.26666705,-3.600000083,885,90,57,14.55591945,256,179,239,187
21,Lonicera maackii,1640127055,43.284171,-79.879523,HUMAN_OBSERVATION,"cdround,gass84",8.558333363,8.68333327,24.73884096,966.9653418,25.10000038,-10,35.10000038,19.66666667,-2.88333332,20.30000003,-3.383333241,881,90,56,14.57989361,254,178,237,186
22,Lonicera maackii,1453335021,43.280404,-79.915858,HUMAN_OBSERVATION,gass84,8.558333373,8.93333335,25.16431862,970.5781753,25.20000076,-10.30000019,35.50000095,19.68333371,-2.933333412,20.33333349,-3.450000063,884,91,56,15.35893602,257,176,240,186
23,Lonicera maackii,1453335036,43.281112,-79.91695,HUMAN_OBSERVATION,gass84,8.512500153,8.991666647,25.25749031,971.1851413,25.20000076,-10.39999962,35.60000038,19.66666698,-2.983333205,20.30000019,-3.483333205,889,91,57,15.15845175,258,177,241,187
24,Lonicera maackii,1453330738,43.296335,-79.87363,HUMAN_OBSERVATION,"cdround,gass84",8.550000037,8.716666589,24.83380768,967.8091531,25.10000038,-10,35.10000038,19.6833334,-2.900000036,20.31666676,-3.383333306,876,90,56,14.47443483,253,178,235,186
26,Lonicera maackii,1258131009,43.248056,-90.255833,PRESERVED_SPECIMEN,"cdround,gass84,iddatunl",7.641666576,11.14999991,26.35933772,1115.027166,26.60000038,-15.69999981,42.30000019,20.69999981,-6.916666607,20.69999981,-6.916666607,811,105,26,43.12592574,298,91,298,91
28,Lonicera maackii,1098204189,43.212593,-90.854378,PRESERVED_SPECIMEN,gass84,7.662499992,11.05833357,26.39220447,1110.64299,26.29999924,-15.60000038,41.89999962,20.61666663,-6.900000145,20.61666663,-6.900000145,826,107,25,43.57054302,308,86,308,86
29,Lonicera maackii,1841164904,43.246944,-90.244167,PRESERVED_SPECIMEN,rdativ,7.524999956,11.01666651,26.1678543,1112.107944,26.39999962,-15.69999981,42.09999943,20.5666666,-6.98333329,20.5666666,-6.98333329,817,104,26,42.92931803,299,91,299,91
30,Lonicera maackii,1847621578,43.195626,-79.917437,HUMAN_OBSERVATION,"cdround,gass84",7.837500012,9.258333453,25.71759361,981.1244172,24.79999924,-11.19999981,35.99999905,19.05000003,-3.600000044,19.76666673,-4.300000032,945,93,59,15.04820932,274,186,262,196
31,Lonicera maackii,1668811224,43.152406,-93.167475,HUMAN_OBSERVATION,"cdround,gass84",7.754166594,10.90833314,25.19245574,1177.872603,27.39999962,-15.89999962,43.29999924,21.53333314,-7.583333191,21.53333314,-7.583333191,840,117,20,52.83269077,337,69,337,69
32,Lonicera maackii,1668836163,43.152811,-93.167748,HUMAN_OBSERVATION,"cdround,gass84",7.754166594,10.90833314,25.19245574,1177.872603,27.39999962,-15.89999962,43.29999924,21.53333314,-7.583333191,21.53333314,-7.583333191,840,117,20,52.83269077,337,69,337,69
33,Lonicera maackii,1677280353,43.079533,-89.630705,HUMAN_OBSERVATION,"cdround,gass84",7.487499932,11.27499995,26.84523858,1102.738574,26.29999924,-15.69999981,41.99999905,20.44999981,-6.849999934,20.44999981,-6.849999934,830,105,28,39.91809638,305,99,305,99
34,Lonicera maackii,1143572616,43.169361,132.673833,LIVING_SPECIMEN,gass84,4.729166613,10.45833332,23.93211245,1189.406766,25.5,-18.20000076,43.70000076,18.2833333,-10.81666676,18.39999994,-10.81666676,719,133,14,67.06059381,351,51,323,51
35,Lonicera maackii,1234285737,43.122394,-94.238255,PRESERVED_SPECIMEN, ,7.691666577,11.43333339,25.9848486,1184.551754,27.39999962,-16.60000038,44,21.49999968,-7.800000095,21.49999968,-7.800000095,768,114,17,53.30194522,315,59,315,59
36,Lonicera maackii,1847600068,43.03046,-81.236436,HUMAN_OBSERVATION,"cdround,gass84",7.89583335,9.325000022,25.83102472,986.3487783,24.5,-11.60000038,36.10000038,9.900000016,-3.70000008,19.66666667,-4.500000072,998,97,62,11.51738237,275,212,255,230
37,Lonicera maackii,1848784878,42.943795,-84.279919,HUMAN_OBSERVATION,"cdround,gass84",8.337500003,10.99166676,28.40223913,1007.961769,26.10000038,-12.60000038,38.70000076,19.44999997,-4.50000006,20.43333308,-4.50000006,785,92,33,27.33226329,245,125,237,125
38,Lonicera maackii,1677308182,42.93643,-88.338447,HUMAN_OBSERVATION,"cdround,gass84",7.854166642,10.92499986,26.97530767,1057.878366,26.20000076,-14.30000019,40.50000095,20.35000006,-5.899999996,20.35000006,-5.899999996,844,102,29,35.73245883,297,110,297,110
