FID,Species,Longitude,Latitude,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,potveg
0,L_maackii,126.723786,45.973419,3.823670275,11.41272646,21.24013123,1536.836885,28.28102753,-25.45025165,53.73127918,21.59057837,-16.45240866,21.59057837,-16.45240866,522.0716784,150.18972,3,109.6376674,346.5025184,12.18972,346.5025184,12.18972,14
1,L_maackii,126.468794,43.873543,4.8357078,11.61597932,22.52619605,1435.778932,28.59195635,-22.9744719,51.56642825,21.42757888,-14.20732762,21.42757888,-14.20732762,665.7263405,188.17484,5,104.4374222,428.2106468,19,428.2106468,19,5
2,L_maackii,127.383846,43.683756,4.071818035,12.50587193,23.59128155,1451.570013,28.51059998,-24.5,53.01059998,20.78491998,-15.25197451,20.78491998,-15.25197451,645.92768,167.8908803,5,100.6761311,409.82624,19.05072,409.82624,19.05072,5
3,L_maackii,132.673833,43.169361,4.689954814,10.45738033,24.01439473,1185.654539,25.43233174,-18.11400443,43.54633618,18.21724464,-10.78800132,18.33696584,-10.78800132,718.5386777,133.67668,13.32332,67.40344412,351.3038755,49.64664,324.9352777,49.64664,-9999
4,L_maackii,125.333333,43,5.225000014,11.93333318,22.992935,1425.853019,29,-22.89999962,51.89999962,21.66666733,-13.74999976,21.66666733,-13.74999976,711.99984,189,7,101.6809464,451.99992,22.99996,451.99992,22.99996,5
5,L_maackii,129,42.5,4.57499984,11.89999984,25.81344845,1232.116619,26.39999962,-19.70000076,46.10000038,18.89999978,-11.6333336,18.89999978,-11.6333336,621,139,5,93.71605558,374,21,374,21,5
6,L_maackii,123.842343,42.286255,7.782734677,11.50867067,23.9778184,1329.166158,29.93221427,-18.06494025,47.99715452,23.19800268,-9.621214155,23.19800268,-9.621214155,663.0140318,176.2936906,5,103.2049813,419.7254506,18.3221453,419.7254506,18.3221453,11
7,L_maackii,128.916667,42.333333,1.60419554,11.34167229,25.65988111,1192.443482,22.80003524,-21.39998362,44.20001886,15.83336733,-13.76664457,15.83336733,-13.76664457,711.99872,160.99968,5,96.76522848,438.99912,21.00004,438.99912,21.00004,5
8,L_maackii,123.416408,41.827587,8.528371034,10.20861952,22.26064226,1290.316571,29.73104429,-16.12794049,45.85898478,23.49700553,-8.464648053,23.49700553,-8.464648053,683.5592879,172.68956,5.021403942,98.20947143,416.6799239,21.02140394,416.6799239,21.02140394,9
9,L_maackii,125.241448,41.241126,4.487479025,11.27730685,25.08435679,1193.107133,25.67941063,-19.27791132,44.95732196,18.63965378,-11.06297981,18.63965378,-11.06297981,985.1237726,265.4654175,8.06488,103.7763273,629.0447902,33.12976,629.0447902,33.12976,5
10,L_maackii,124.833333,40.916667,5.837487074,11.7749948,25.65359034,1211.323328,27.499984,-18.40000362,45.89998762,20.16664984,-10.00000655,20.16664984,-10.00000655,983.0002,266.00008,8.999960002,103.8669639,624.00016,34.99996,624.00016,34.99996,5
11,L_maackii,124.03631,40.573023,8.087989726,11.07640276,24.78412514,1216.853936,28.9509696,-15.74055604,44.69152565,22.25205874,-7.896852004,22.25205874,-7.896852004,917.9128485,251.8475021,9,104.8379911,582.2700485,34.23724,582.2700485,34.23724,5
12,L_maackii,111.17958,37.357119,8.768884731,13.01071948,30.33403562,1083.753317,28.84457462,-14.04695141,42.89152602,19.8231482,-5.371443082,21.49513389,-5.371443082,498.3749692,119,2,99.82058878,312.9199123,9,294.3894246,9,12
13,L_maackii,111.77899,37.146404,10.96558887,13.78721408,32.87800936,1031.170841,30.57750947,-11.35684787,41.93435734,21.35045412,-2.370777865,23.0974938,-2.370777865,478.9045129,120,4.224908224,101.4413368,303,17.22490822,289.2721882,17.22490822,5
14,L_maackii,110.94066,36.693354,9.498081344,13.07951407,31.01277517,1056.445653,29.20417229,-12.97011784,42.17429014,20.20508237,-4.26362698,21.90549007,-4.26362698,498.6620596,113.8792,3,95.53645494,304.8792,10,283.7584,10,13
